C,Gamma,Degree,KFold_Accuracy
0.2,0.5,1.0,0.7779999999999999
0.2,0.5,2.0,0.546
0.2,0.5,3.0,0.5126666666666667
0.2,0.8571428571428572,1.0,0.7973333333333332
0.2,0.8571428571428572,2.0,0.7213333333333334
0.2,0.8571428571428572,3.0,0.588
0.2,1.2142857142857144,1.0,0.7959999999999999
0.2,1.2142857142857144,2.0,0.768
0.2,1.2142857142857144,3.0,0.7100000000000002
0.2,1.5714285714285714,1.0,0.7993333333333333
0.2,1.5714285714285714,2.0,0.7913333333333332
0.2,1.5714285714285714,3.0,0.762
0.2,1.9285714285714286,1.0,0.808
0.2,1.9285714285714286,2.0,0.8013333333333333
0.2,1.9285714285714286,3.0,0.7833333333333333
0.2,2.2857142857142856,1.0,0.8126666666666666
0.2,2.2857142857142856,2.0,0.806
0.2,2.2857142857142856,3.0,0.7973333333333334
0.2,2.642857142857143,1.0,0.8146666666666667
0.2,2.642857142857143,2.0,0.8046666666666666
0.2,2.642857142857143,3.0,0.796
0.2,3.0,1.0,0.8140000000000001
0.2,3.0,2.0,0.8173333333333334
0.2,3.0,3.0,0.8
0.30000000000000004,0.5,1.0,0.7886666666666666
0.30000000000000004,0.5,2.0,0.6559999999999999
0.30000000000000004,0.5,3.0,0.4726666666666667
0.30000000000000004,0.8571428571428572,1.0,0.7986666666666666
0.30000000000000004,0.8571428571428572,2.0,0.7533333333333333
0.30000000000000004,0.8571428571428572,3.0,0.6626666666666666
0.30000000000000004,1.2142857142857144,1.0,0.8133333333333332
0.30000000000000004,1.2142857142857144,2.0,0.7793333333333333
0.30000000000000004,1.2142857142857144,3.0,0.7346666666666668
0.30000000000000004,1.5714285714285714,1.0,0.8026666666666668
0.30000000000000004,1.5714285714285714,2.0,0.8006666666666667
0.30000000000000004,1.5714285714285714,3.0,0.7780000000000001
0.30000000000000004,1.9285714285714286,1.0,0.8006666666666667
0.30000000000000004,1.9285714285714286,2.0,0.8053333333333335
0.30000000000000004,1.9285714285714286,3.0,0.7933333333333332
0.30000000000000004,2.2857142857142856,1.0,0.8039999999999999
0.30000000000000004,2.2857142857142856,2.0,0.8133333333333332
0.30000000000000004,2.2857142857142856,3.0,0.8006666666666666
0.30000000000000004,2.642857142857143,1.0,0.808
0.30000000000000004,2.642857142857143,2.0,0.8133333333333332
0.30000000000000004,2.642857142857143,3.0,0.7986666666666666
0.30000000000000004,3.0,1.0,0.8046666666666666
0.30000000000000004,3.0,2.0,0.8153333333333335
0.30000000000000004,3.0,3.0,0.7966666666666666
0.4,0.5,1.0,0.7973333333333333
0.4,0.5,2.0,0.6966666666666667
0.4,0.5,3.0,0.5126666666666667
0.4,0.8571428571428572,1.0,0.8073333333333335
0.4,0.8571428571428572,2.0,0.7606666666666667
0.4,0.8571428571428572,3.0,0.6853333333333333
0.4,1.2142857142857144,1.0,0.8053333333333332
0.4,1.2142857142857144,2.0,0.7979999999999999
0.4,1.2142857142857144,3.0,0.7546666666666667
0.4,1.5714285714285714,1.0,0.8059999999999998
0.4,1.5714285714285714,2.0,0.8019999999999999
0.4,1.5714285714285714,3.0,0.7846666666666666
0.4,1.9285714285714286,1.0,0.8073333333333335
0.4,1.9285714285714286,2.0,0.8173333333333332
0.4,1.9285714285714286,3.0,0.7946666666666667
0.4,2.2857142857142856,1.0,0.8186666666666668
0.4,2.2857142857142856,2.0,0.8053333333333332
0.4,2.2857142857142856,3.0,0.8046666666666666
0.4,2.642857142857143,1.0,0.8053333333333335
0.4,2.642857142857143,2.0,0.8086666666666666
0.4,2.642857142857143,3.0,0.7993333333333332
0.4,3.0,1.0,0.8119999999999999
0.4,3.0,2.0,0.8093333333333333
0.4,3.0,3.0,0.7966666666666666
0.5,0.5,1.0,0.7993333333333333
0.5,0.5,2.0,0.7153333333333334
0.5,0.5,3.0,0.528
0.5,0.8571428571428572,1.0,0.8053333333333332
0.5,0.8571428571428572,2.0,0.7753333333333333
0.5,0.8571428571428572,3.0,0.7053333333333334
0.5,1.2142857142857144,1.0,0.8100000000000002
0.5,1.2142857142857144,2.0,0.8013333333333333
0.5,1.2142857142857144,3.0,0.7666666666666667
0.5,1.5714285714285714,1.0,0.8026666666666668
0.5,1.5714285714285714,2.0,0.8033333333333333
0.5,1.5714285714285714,3.0,0.7913333333333334
0.5,1.9285714285714286,1.0,0.804
0.5,1.9285714285714286,2.0,0.8099999999999999
0.5,1.9285714285714286,3.0,0.7966666666666667
0.5,2.2857142857142856,1.0,0.8099999999999999
0.5,2.2857142857142856,2.0,0.8099999999999999
0.5,2.2857142857142856,3.0,0.8099999999999999
0.5,2.642857142857143,1.0,0.8073333333333335
0.5,2.642857142857143,2.0,0.812
0.5,2.642857142857143,3.0,0.7993333333333333
0.5,3.0,1.0,0.806
0.5,3.0,2.0,0.8126666666666666
0.5,3.0,3.0,0.7946666666666667
0.6000000000000001,0.5,1.0,0.8013333333333333
0.6000000000000001,0.5,2.0,0.7286666666666667
0.6000000000000001,0.5,3.0,0.528
0.6000000000000001,0.8571428571428572,1.0,0.8106666666666668
0.6000000000000001,0.8571428571428572,2.0,0.7893333333333333
0.6000000000000001,0.8571428571428572,3.0,0.7133333333333333
0.6000000000000001,1.2142857142857144,1.0,0.8133333333333332
0.6000000000000001,1.2142857142857144,2.0,0.8086666666666666
0.6000000000000001,1.2142857142857144,3.0,0.7773333333333333
0.6000000000000001,1.5714285714285714,1.0,0.8119999999999999
0.6000000000000001,1.5714285714285714,2.0,0.8073333333333335
0.6000000000000001,1.5714285714285714,3.0,0.7966666666666666
0.6000000000000001,1.9285714285714286,1.0,0.8093333333333333
0.6000000000000001,1.9285714285714286,2.0,0.8160000000000001
0.6000000000000001,1.9285714285714286,3.0,0.7979999999999999
0.6000000000000001,2.2857142857142856,1.0,0.8153333333333332
0.6000000000000001,2.2857142857142856,2.0,0.8166666666666667
0.6000000000000001,2.2857142857142856,3.0,0.798
0.6000000000000001,2.642857142857143,1.0,0.8113333333333334
0.6000000000000001,2.642857142857143,2.0,0.8099999999999999
0.6000000000000001,2.642857142857143,3.0,0.8026666666666668
0.6000000000000001,3.0,1.0,0.8073333333333335
0.6000000000000001,3.0,2.0,0.8073333333333335
0.6000000000000001,3.0,3.0,0.796
0.7,0.5,1.0,0.8073333333333332
0.7,0.5,2.0,0.738
0.7,0.5,3.0,0.5413333333333333
0.7,0.8571428571428572,1.0,0.8033333333333335
0.7,0.8571428571428572,2.0,0.7873333333333333
0.7,0.8571428571428572,3.0,0.7166666666666667
0.7,1.2142857142857144,1.0,0.8166666666666667
0.7,1.2142857142857144,2.0,0.8039999999999999
0.7,1.2142857142857144,3.0,0.7753333333333332
0.7,1.5714285714285714,1.0,0.8146666666666667
0.7,1.5714285714285714,2.0,0.8086666666666668
0.7,1.5714285714285714,3.0,0.8026666666666665
0.7,1.9285714285714286,1.0,0.8193333333333334
0.7,1.9285714285714286,2.0,0.8160000000000001
0.7,1.9285714285714286,3.0,0.798
0.7,2.2857142857142856,1.0,0.8106666666666665
0.7,2.2857142857142856,2.0,0.82
0.7,2.2857142857142856,3.0,0.8013333333333332
0.7,2.642857142857143,1.0,0.8006666666666667
0.7,2.642857142857143,2.0,0.804
0.7,2.642857142857143,3.0,0.7933333333333334
0.7,3.0,1.0,0.8146666666666667
0.7,3.0,2.0,0.818
0.7,3.0,3.0,0.7953333333333333
0.8,0.5,1.0,0.804
0.8,0.5,2.0,0.7513333333333334
0.8,0.5,3.0,0.5613333333333334
0.8,0.8571428571428572,1.0,0.8119999999999999
0.8,0.8571428571428572,2.0,0.7986666666666666
0.8,0.8571428571428572,3.0,0.728
0.8,1.2142857142857144,1.0,0.8113333333333334
0.8,1.2142857142857144,2.0,0.7973333333333332
0.8,1.2142857142857144,3.0,0.7873333333333333
0.8,1.5714285714285714,1.0,0.8160000000000001
0.8,1.5714285714285714,2.0,0.8119999999999999
0.8,1.5714285714285714,3.0,0.79
0.8,1.9285714285714286,1.0,0.804
0.8,1.9285714285714286,2.0,0.812
0.8,1.9285714285714286,3.0,0.8026666666666665
0.8,2.2857142857142856,1.0,0.808
0.8,2.2857142857142856,2.0,0.806
0.8,2.2857142857142856,3.0,0.7933333333333333
0.8,2.642857142857143,1.0,0.812
0.8,2.642857142857143,2.0,0.8059999999999998
0.8,2.642857142857143,3.0,0.7979999999999999
0.8,3.0,1.0,0.8086666666666666
0.8,3.0,2.0,0.8086666666666666
0.8,3.0,3.0,0.7986666666666666
0.9000000000000001,0.5,1.0,0.806
0.9000000000000001,0.5,2.0,0.7493333333333333
0.9000000000000001,0.5,3.0,0.576
0.9000000000000001,0.8571428571428572,1.0,0.8126666666666666
0.9000000000000001,0.8571428571428572,2.0,0.796
0.9000000000000001,0.8571428571428572,3.0,0.7333333333333334
0.9000000000000001,1.2142857142857144,1.0,0.8146666666666667
0.9000000000000001,1.2142857142857144,2.0,0.8126666666666665
0.9000000000000001,1.2142857142857144,3.0,0.7866666666666666
0.9000000000000001,1.5714285714285714,1.0,0.8113333333333334
0.9000000000000001,1.5714285714285714,2.0,0.8066666666666666
0.9000000000000001,1.5714285714285714,3.0,0.79
0.9000000000000001,1.9285714285714286,1.0,0.8099999999999999
0.9000000000000001,1.9285714285714286,2.0,0.808
0.9000000000000001,1.9285714285714286,3.0,0.7993333333333335
0.9000000000000001,2.2857142857142856,1.0,0.8073333333333335
0.9000000000000001,2.2857142857142856,2.0,0.8106666666666665
0.9000000000000001,2.2857142857142856,3.0,0.8026666666666668
0.9000000000000001,2.642857142857143,1.0,0.8133333333333332
0.9000000000000001,2.642857142857143,2.0,0.8039999999999999
0.9000000000000001,2.642857142857143,3.0,0.8006666666666667
0.9000000000000001,3.0,1.0,0.8099999999999999
0.9000000000000001,3.0,2.0,0.8046666666666666
0.9000000000000001,3.0,3.0,0.7933333333333333
1.0,0.5,1.0,0.8106666666666665
1.0,0.5,2.0,0.756
1.0,0.5,3.0,0.5926666666666666
1.0,0.8571428571428572,1.0,0.808
1.0,0.8571428571428572,2.0,0.8019999999999999
1.0,0.8571428571428572,3.0,0.75
1.0,1.2142857142857144,1.0,0.8133333333333332
1.0,1.2142857142857144,2.0,0.8099999999999999
1.0,1.2142857142857144,3.0,0.7946666666666667
1.0,1.5714285714285714,1.0,0.8140000000000001
1.0,1.5714285714285714,2.0,0.8033333333333333
1.0,1.5714285714285714,3.0,0.8006666666666666
1.0,1.9285714285714286,1.0,0.8046666666666666
1.0,1.9285714285714286,2.0,0.8099999999999999
1.0,1.9285714285714286,3.0,0.7933333333333333
1.0,2.2857142857142856,1.0,0.8093333333333333
1.0,2.2857142857142856,2.0,0.8026666666666668
1.0,2.2857142857142856,3.0,0.7986666666666666
1.0,2.642857142857143,1.0,0.8126666666666666
1.0,2.642857142857143,2.0,0.8126666666666669
1.0,2.642857142857143,3.0,0.7913333333333333
1.0,3.0,1.0,0.8099999999999999
1.0,3.0,2.0,0.7946666666666667
1.0,3.0,3.0,0.7933333333333333
